date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:35:59	304797/304797	---MCZ	200	added ('OK')	text/html	etag:W/%22cf696352e5dd4212b070daafd176fdf3%22	https://bossgiay.vn/products/nike-air-force-1-shadow-triple-white-ci0919-100	E:/test_shoes_shop/bossgiay.vn/products/nike-air-force-1-shadow-triple-white-ci0919-100.html	(from https://bossgiay.vn/collections/sneaker)
23:35:59	68993/68993	---M--	200	added ('OK')	image/jpeg	etag:%2237673429ee1b420895cff7f76718b1c1%22	http://product.hstatic.net/1000383440/product/dscf0316_5f1a921c7fd3417aa5bbbd623b97c2c5_grande.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/dscf0316_5f1a921c7fd3417aa5bbbd623b97c2c5_grande.jpg	(from https://bossgiay.vn/collections/sneaker)
23:36:05	40784/40784	---M--	200	added ('OK')	image/jpeg	etag:%2254994e882f2b9e763293f22c1f5b6125%22	http://product.hstatic.net/1000383440/product/img_0088_a82a33bb7a254ad28ccd8631df103833_grande.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/img_0088_a82a33bb7a254ad28ccd8631df103833_grande.jpg	(from https://bossgiay.vn/collections/sneaker)
23:36:05	48943/48943	---M--	200	added ('OK')	image/jpeg	etag:%224647416209d3b2efa882675a581850a0%22	http://product.hstatic.net/1000383440/product/img_0088_a82a33bb7a254ad28ccd8631df103833_large.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/img_0088_a82a33bb7a254ad28ccd8631df103833_large.jpg	(from https://bossgiay.vn/collections/sneaker)
23:36:05	39265/39265	---M--	200	added ('OK')	image/jpeg	etag:%22e387e8a3a5c3fbd16bd3df21ba10f06b%22	http://product.hstatic.net/1000383440/product/dscf3616_5df2986125bc4b6d89e4e2b27b3f7238_large.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/dscf3616_5df2986125bc4b6d89e4e2b27b3f7238_large.jpg	(from https://bossgiay.vn/collections/sneaker)
23:36:08	292960/292960	---MCZ	200	added ('OK')	text/html	etag:W/%225947cdad14034cf79f7c9c8ca315fc60%22	https://bossgiay.vn/products/nike-air-jordan-1-mid-gs-triple-white-554725-136	E:/test_shoes_shop/bossgiay.vn/products/nike-air-jordan-1-mid-gs-triple-white-554725-136.html	(from https://bossgiay.vn/collections/sneaker)
23:36:09	12499/12499	---M--	200	added ('OK')	image/jpeg	etag:%2295fb2ebe72e1b7b10a840033973c55b9%22	http://product.hstatic.net/1000383440/product/dscf3479_32219b7a3bf441efb92e02cfbbe20ff1_large.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/dscf3479_32219b7a3bf441efb92e02cfbbe20ff1_large.jpg	(from https://bossgiay.vn/collections/sneaker)
23:36:10	58940/58940	---M--	200	added ('OK')	image/jpeg	etag:%22d6eb90270e3736678513c0149a3ca709%22	http://product.hstatic.net/1000383440/product/dscf3616_5df2986125bc4b6d89e4e2b27b3f7238_grande.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/dscf3616_5df2986125bc4b6d89e4e2b27b3f7238_grande.jpg	(from https://bossgiay.vn/collections/sneaker)
23:36:11	15293/15293	---M--	200	added ('OK')	image/jpeg	etag:%229f5c73adf60b966b9ac7dbc25f76d2c0%22	http://product.hstatic.net/1000383440/product/dscf0058_35b810c0dd1b4233aff51f81970ad196_large.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/dscf0058_35b810c0dd1b4233aff51f81970ad196_large.jpg	(from https://bossgiay.vn/collections/sneaker)
23:36:12	28490/28490	---M--	200	added ('OK')	image/jpeg	etag:%2265e21a6d62ba7530fda01dc269466e82%22	http://product.hstatic.net/1000383440/product/dscf3474_952c2a838a8742a9af8448646e6f61c3_large.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/dscf3474_952c2a838a8742a9af8448646e6f61c3_large.jpg	(from https://bossgiay.vn/collections/sneaker)
